32	111
101	000
116	1011
115	0110
105	1001
110	0101
114	0010
97	0100
111	0011
117	10100
104	10000
108	10101
103	100010
109	110010
112	011111
99	110111
100	110011
102	110100
121	110101
78	0111100
85	0111011
76	1000111
46	1000110
71	0111101
10	0111001
120	1100000
44	1101100
98	1100011
106	01110001
118	11000101
79	01110100
107	01110000
119	11011010
39	110001001
47	011101010
73	110000110
84	110000111
80	110000100
65	1101101100
67	1100001010
83	0111010111
58	1101101111
45	1100001011
122	0111010110
59	1100010000
88	11011011101
77	11011011100
113	11011011010
87	11000100010
66	11011011011
33	11000100011
